Ro;
Tempo (sec);Coppia motore5 (newton-mm)
0;216,852986
0,04;215,3497245
0,08;209,782048
0,12;200,8128232
0,16;188,2397266
0,2;172,1963193
0,24;152,8346147
0,28;129,9881289
0,32;103,9116154
0,36;74,61951046
0,4;42,16544923
0,44;6,558369076
0,48;32,05182633
0,52;73,65282085
0,56;118,2727011
0,6;165,5318451
0,64;215,7188933
0,68;268,6316794
0,72;324,0961735
0,76;382,4022785
0,8;443,1424592
0,84;506,2103234
0,88;571,9148633
0,92;639,8509605
0,96;710,2691069
1;782,4739472
1,04;857,0193878
1,08;933,6280036
1,12;1012,177806
1,16;1092,854681
1,2;1175,116244
1,24;1259,278781
1,28;1345,270183
1,32;1432,676082
1,36;1521,754285
1,4;1612,300503
1,44;1704,392637
1,48;1797,61812
1,52;1892,218458
1,56;1988,115022
1,6;2084,96567
1,64;2182,946256
1,68;2281,868301
1,72;2381,818731
1,76;2482,444236
1,8;2583,896516
1,84;2685,998503
1,88;2788,82335
1,92;2892,128935
1,96;2995,817475
2;3100,069727
2,04;3204,588722
2,08;3309,40218
2,12;3414,327821
2,16;3519,490421
2,2;3624,644118
2,24;3729,940773
2,28;3834,947152
2,32;3939,878982
2,36;4044,672144
2,4;4147,785291
2,44;4254,950656
2,48;4357,412155
2,52;4460,871328
2,56;4563,846241
2,6;4666,380245
2,64;4768,166005
2,68;4869,38145
2,72;4969,882638
2,76;5069,69589
2,8;5168,713034
2,84;5267,022051
2,88;5364,216632
2,92;5460,630213
2,96;5555,959611
3;5650,495583
3,04;5743,890839
3,08;5836,276476
3,12;5927,426852
3,16;6017,532768
3,2;6106,332046
3,24;6194,111534
3,28;6280,530701
3,32;6365,723545
3,36;6449,537832
3,4;6532,131345
3,44;6613,231943
3,48;6693,130147
3,52;6771,501604
3,56;6848,550205
3,6;6923,958139
3,64;6998,055928
3,68;7070,549081
3,72;7141,631969
3,76;7211,102298
3,8;7279,128016
3,84;7345,374936
3,88;7410,167013
3,92;7473,215939
3,96;7534,790433
4;7594,631197
4,04;7652,876127
4,08;7709,268527
4,12;7764,054553
4,16;7816,985904
4,2;7868,327839
4,24;7917,812995
4,28;7965,617645
4,32;8011,374556
4,36;8055,412957
4,4;8097,532133
4,44;8137,796012
4,48;8176,129108
4,52;8212,612541
4,56;8246,92727
4,6;8279,31472
4,64;8309,731751
4,68;8337,895207
4,72;8364,036598
4,738872429;8373,556686
4,76;8323,348522
4,8;8221,189483
4,84;8153,525524
4,88;8118,952633
4,92;8111,263659
4,96;8135,103684
5;8189,337137
