grafpitch;
Tempo (sec);Beccheggio/Imbardata/Rollio6 (deg)
0;
0,04;5,25356491
0,08;9,873590232
0,12;13,75745158
0,16;17,06726486
0,2;19,92153221
0,24;22,40744004
0,28;24,58868998
0,32;26,51613258
0,36;28,2292297
0,4;29,75825515
0,44;31,12898996
0,48;32,36252078
0,52;33,47523198
0,56;34,48188753
0,6;35,39507309
0,64;36,22460701
0,68;36,97978922
0,72;37,6682852
0,76;38,2968265
0,8;38,87158128
0,84;39,39742474
0,88;39,87911658
0,92;40,32097054
0,96;40,7263254
1;41,09863534
1,04;41,44074067
1,08;41,75527277
1,116292571;42,01893453
1,12;42,04468116
1,16;42,2372596
1,2;42,3071548
1,24;42,34707622
1,28;42,37057912
1,32;42,3867996
1,36;42,3981952
1,4;42,40631707
1,44;42,4121441
1,48;42,41633291
1,52;42,41938818
1,56;42,42158872
1,6;42,42319111
1,64;42,4243587
1,68;42,42519312
1,72;42,42583288
1,76;42,42627663
1,8;42,4266065
1,84;42,42684503
1,88;42,42700409
1,92;42,42715152
1,96;42,42723723
2;42,42730563
2,04;42,42735639
2,08;42,4273741
2,12;42,42741815
2,16;42,42742956
2,2;42,42744814
2,24;42,4274574
2,28;42,42745312
2,32;42,42747045
2,36;42,42746273
2,4;42,427482
2,44;42,42748019
2,48;42,42748158
2,52;42,42748459
2,56;42,42746657
2,6;42,4274855
2,64;42,42747772
2,68;42,42748311
2,72;42,42748294
2,76;42,42747962
2,8;42,42748517
2,84;42,42747022
2,88;42,42748672
2,92;42,42748204
2,96;42,4274872
3;42,42748805
3,04;42,42747628
3,08;42,42749
3,12;42,42747701
3,16;42,42749196
3,2;42,42748717
3,24;42,42749056
3,28;42,4274919
3,32;42,42748098
3,36;42,42749078
3,4;42,42747844
3,44;42,42749411
3,48;42,42748927
3,52;42,42749393
3,56;42,42749277
3,6;42,427472
3,64;42,42748732
3,68;42,42747286
3,72;42,42749481
3,76;42,42748719
3,8;42,4274981
3,84;42,42749465
3,88;42,42748835
3,92;42,42748857
3,96;42,42747093
4;42,42749141
4,04;42,42747671
4,08;42,4274826
4,12;42,42749288
4,16;42,42750224
4,2;42,42749189
4,24;42,42749901
4,28;42,42749743
4,32;42,42748944
4,36;42,42749757
4,4;42,42749025
4,44;42,42750276
4,48;42,42749473
4,52;42,42749132
4,56;42,42748888
4,6;42,42747969
4,64;42,42748851
4,68;42,42747068
4,72;42,42748935
4,76;42,42747794
4,8;42,4274903
4,84;42,42748645
4,88;42,42748544
4,92;42,42748685
4,96;42,42747651
5;42,42748685
