yaw graf; 
"Tempo (sec),""Beccheggio/Imbardata/Rollio4 (deg)""";
0,-90.0000000000001;
0.04,-90.0000000000001;
0.08,-90.0000000000001;
0.12,-90.0000000000001;
0.16,-90.0000000000001;
0.2,-90;
0.24,-90.0000000000001;
0.28,-90.0000000000001;
0.32,-90.0000000000001;
0.36,-90.0000000000001;
0.4,-90.0000000000001;
0.44,-90.0000000000001;
0.48,-90.0000000000001;
0.52,-90.0000000000003;
0.56,-90.0000000000001;
0.6,-90.0000000000001;
0.64,-90.0000000000001;
0.68,-90.0000000000001;
0.72,-90.0000000000001;
0.76,-90.0000000000001;
0.8,-90.0000000000003;
0.84,-90.0000000000001;
0.88,-90.0000000000001;
0.92,-89.9999999999997;
0.96,-90.0000000000001;
1,-90.0000000000001;
1.04,-90.0000000000002;
1.08,-90.0000000000001;
1.12,-90.0000000000002;
1.16,-90.0000000000002;
1.2,-90.0000000000002;
1.24,-90.0000000000001;
1.28,-90.0000000000001;
1.32,-90.0000000000001;
1.36,-90;
1.4,-90.0000000000002;
1.44,-90.0000000000001;
1.48,-90.0000000000001;
1.52,-90.0000000000001;
1.56,-90.0000000000001;
1.6,-90.0000000000003;
1.64,-89.9999999999998;
1.68,-90.0000000000001;
1.72,-90.0000000000001;
1.76,-90;
1.8,-90.0000000000003;
1.84,-90.0000000000001;
1.88,-90.0000000000001;
1.92,-90.0000000000001;
1.96,-90.0000000000003;
2,-90.0000000000001;
2,-90.0000000000001;
2.02728428989984,-94.5678801753238;
2.04,-98.2299346550393;
2.08,-105.3195210713;
2.09961871414301,-106.768754515809;
2.12,-107.651091878838;
2.12250265866463,-107.716640673446;
2.16,-108.123650705788;
2.2,-109.070411695768;
2.24,-109.852670410978;
2.28,-110.468571911789;
2.32,-110.997637825972;
2.36,-111.453653291233;
2.4,-111.853672790414;
2.44,-112.208108729284;
2.48,-112.523451541518;
2.52,-112.811146545587;
2.56,-113.085370013083;
2.6,-113.343445889316;
2.64,-113.558016609307;
2.68,-113.748083183898;
2.72,-113.920989093935;
2.76,-114.108723640092;
2.8,-114.316135666008;
2.84,-114.491792116647;
2.88,-114.632632135555;
2.92,-114.752372284421;
2.96,-114.860898332298;
3,-114.961728674121;
3.04,-115.057072323346;
3.08,-115.159837747101;
3.12,-115.26507891389;
3.16,-115.371755788355;
3.2,-115.475261518565;
3.24,-115.574163227877;
3.28,-115.669607596674;
3.32,-115.758918839036;
3.36,-115.842177800849;
3.4,-115.919468310786;
3.44,-115.994527283702;
3.48,-116.065983681697;
3.52,-116.132979485647;
3.56,-116.19896530509;
3.6,-116.261298773401;
3.64,-116.321333506587;
3.68,-116.377523075588;
3.72,-116.432131859312;
3.76,-116.484474293669;
3.8,-116.534243020143;
3.84,-116.582398946012;
3.88,-116.629018752975;
3.91823251731372,-116.672846527619;
3.92,-116.674781808031;
3.96,-116.71878491904;
4,-116.762101113787;
4.04,-116.803853393786;
4.08,-116.845591685497;
4.12,-116.885872892855;
4.16,-116.925862497284;
4.2,-116.964343620059;
4.24,-117.002661059075;
4.28,-117.039972570747;
4.32,-117.077245420601;
4.34523513547016,-117.100237353448;
4.36,-117.11353642548;
4.4,-117.149607803113;
4.44,-117.184658838419;
4.48,-117.219650226764;
4.52,-117.253777936614;
4.56,-117.288179152945;
4.6,-117.321639082621;
4.64,-117.355181916871;
4.68,-117.387721510642;
4.72,-117.420404014187;
4.76,-117.45223328455;
4.8,-117.484618593313;
4.84,-117.516080858652;
4.88,-117.547884748815;
4.92,-117.578516950565;
4.96,-117.609485800822;
5,-117.63960733062;
