Grafico10;;;;
Tempo (sec);Beccheggio/Imbardata/Rollio4 (deg);;;
0;9,75737E-07;;;-89,99999902
0,04;1,880070981;;;-88,11992902
0,08;3,752145061;;;-86,24785494
0,12;5,580591396;;;-84,4194086
0,16;7,369171513;;;-82,63082849
0,2;9,121826379;;;-80,87817362
0,24;10,84209369;;;-79,15790631
0,28;12,53281038;;;-77,46718962
0,32;14,198149;;;-75,801851
0,36;15,84001618;;;-74,15998382
0,4;17,46178014;;;-72,53821986
0,44;19,06621443;;;-70,93378557
0,48;20,65672997;;;-69,34327003
0,52;22,23466286;;;-67,76533714
0,56;23,80449717;;;-66,19550283
0,6;25,3686191;;;-64,6313809
0,64;26,92957828;;;-63,07042172
0,68;28,49221058;;;-61,50778942
0,72;30,05857662;;;-59,94142338
0,76;31,63312773;;;-58,36687227
0,8;33,22028862;;;-56,77971138
0,84;34,82442071;;;-55,17557929
0,88;36,45150492;;;-53,54849508
0,92;38,10727273;;;-51,89272727
0,96;39,7997474;;;-50,2002526
1;41,53727692;;;-48,46272308
1,04;43,33095398;;;-46,66904602
1,08;45,19392299;;;-44,80607701
1,12;47,14389145;;;-42,85610855
1,16;49,20311604;;;-40,79688396
1,2;51,40051283;;;-38,59948717
1,24;53,78187292;;;-36,21812708
1,28;56,40721184;;;-33,59278816
1,32;59,37705477;;;-30,62294523
1,36;62,85537828;;;-27,14462172
1,4;63,63049503;;;-26,36950497
1,44;63,64986828;;;-26,35013172
1,48;63,66322675;;;-26,33677325
1,52;63,67385599;;;-26,32614401
1,56;63,68285442;;;-26,31714558
1,6;63,69073958;;;-26,30926042
1,64;63,69782412;;;-26,30217588
1,68;63,70429008;;;-26,29570992
1,72;63,71025615;;;-26,28974385
1,76;63,71582421;;;-26,28417579
1,8;63,72105478;;;-26,27894522
1,84;63,72597651;;;-26,27402349
1,88;63,73061358;;;-26,26938642
1,92;63,73497336;;;-26,26502664
1,96;63,73906604;;;-26,26093396
2;63,74291209;;;-26,25708791
2,04;63,74651922;;;-26,25348078
2,08;63,74989994;;;-26,25010006
2,12;63,75306782;;;-26,24693218
2,16;63,75603453;;;-26,24396547
2,2;63,75881322;;;-26,24118678
2,24;63,76140679;;;-26,23859321
2,28;63,76383535;;;-26,23616465
2,32;63,76610751;;;-26,23389249
2,36;63,76822293;;;-26,23177707
2,4;63,77020378;;;-26,22979622
2,44;63,77205308;;;-26,22794692
2,48;63,77377469;;;-26,22622531
2,52;63,77538526;;;-26,22461474
2,56;63,7768862;;;-26,2231138
2,6;63,77828605;;;-26,22171395
2,64;63,77958939;;;-26,22041061
2,68;63,78080574;;;-26,21919426
2,72;63,78194395;;;-26,21805605
2,76;63,7829948;;;-26,2170052
2,8;63,78397904;;;-26,21602096
2,84;63,78489522;;;-26,21510478
2,88;63,78574585;;;-26,21425415
2,92;63,78654079;;;-26,21345921
2,96;63,78727996;;;-26,21272004
3;63,78797105;;;-26,21202895
3,04;63,78860682;;;-26,21139318
3,08;63,78920379;;;-26,21079621
3,12;63,78975839;;;-26,21024161
3,16;63,79027417;;;-26,20972583
3,2;63,79075346;;;-26,20924654
3,24;63,79120027;;;-26,20879973
3,28;63,79161665;;;-26,20838335
3,32;63,792;;;-26,208
3,36;63,79236092;;;-26,20763908
3,4;63,79269516;;;-26,20730484
3,44;63,79300783;;;-26,20699217
3,48;63,79329311;;;-26,20670689
3,52;63,79356347;;;-26,20643653
3,56;63,79381341;;;-26,20618659
3,6;63,79404682;;;-26,20595318
3,64;63,79425992;;;-26,20574008
3,68;63,79446243;;;-26,20553757
3,72;63,79464941;;;-26,20535059
3,76;63,79482304;;;-26,20517696
3,8;63,79498449;;;-26,20501551
3,84;63,79513513;;;-26,20486487
3,88;63,79527258;;;-26,20472742
3,92;63,79540374;;;-26,20459626
3,96;63,79552417;;;-26,20447583
4;63,79563598;;;-26,20436402
4,04;63,79574191;;;-26,20425809
4,08;63,7958351;;;-26,2041649
4,12;63,79592674;;;-26,20407326
4,16;63,79601079;;;-26,20398921
4,2;63,79609006;;;-26,20390994
4,24;63,79615947;;;-26,20384053
4,28;63,79622779;;;-26,20377221
4,32;63,79628991;;;-26,20371009
4,36;63,796351;;;-26,203649
4,4;63,79640051;;;-26,20359949
4,44;63,79645201;;;-26,20354799
4,48;63,79649966;;;-26,20350034
4,52;63,79653869;;;-26,20346131
4,56;63,79658235;;;-26,20341765
4,6;63,79661939;;;-26,20338061
4,64;63,7966573;;;-26,2033427
4,68;63,79668522;;;-26,20331478
4,72;63,79671597;;;-26,20328403
4,76;63,79674573;;;-26,20325427
4,8;63,79676888;;;-26,20323112
4,84;63,79679443;;;-26,20320557
4,88;63,79681725;;;-26,20318275
4,92;63,79683737;;;-26,20316263
4,96;63,79685677;;;-26,20314323
5;63,79687587;;;-26,20312413
